Policy,Episode,Run_Time_sec,Generated_Tasks,Accepted_Tasks,Dropped_Tasks,Completed_Tasks,Reward,Avg_Queue_Length,Load_Imbalance_Std,Freq_Server_0,Freq_Server_1,Freq_Server_2
Round Robin,47,0.003919839859008789,2843.0,2843.0,0,897,-2863.6300000000006,954.5433333333333,10.186749609202122,100,100,100
Round Robin,48,0.005001068115234375,2838.0,2838.0,0,897,-2949.7199999999993,983.24,8.286402152883184,100,100,100
Round Robin,49,0.004685401916503906,2936.0,2936.0,0,897,-3015.0799999999986,1005.0266666666666,12.59522766666522,100,100,100
Round Robin,50,0.00491786003112793,2887.0,2887.0,0,897,-3036.3399999999997,1012.1133333333333,26.0782852227274,100,100,100
Round Robin,51,0.005000591278076172,2876.0,2876.0,0,897,-2963.489999999999,987.83,20.406775747946703,100,100,100
Round Robin,52,0.0040836334228515625,2853.0,2853.0,0,897,-2932.22,977.4066666666666,11.1410423611094,100,100,100
Round Robin,53,0.004916191101074219,2996.0,2996.0,0,897,-3135.43,1045.1433333333334,12.34534832886945,100,100,100
Round Robin,54,0.0039980411529541016,2868.0,2868.0,0,897,-2979.2699999999995,993.09,17.205200363760106,100,100,100
Round Robin,55,0.006093025207519531,2817.0,2817.0,0,897,-2901.510000000001,967.17,10.550194185058036,100,100,100
Round Robin,56,0.0039081573486328125,2876.0,2876.0,0,897,-2888.4800000000014,962.8266666666667,17.962608037328305,100,100,100
Round Robin,57,0.004006147384643555,2859.0,2859.0,0,897,-2963.589999999999,987.8633333333333,15.792570287050669,100,100,100
Round Robin,58,0.005000591278076172,2786.0,2786.0,0,897,-2810.7400000000007,936.9133333333333,13.331081246561318,100,100,100
Round Robin,59,0.003994464874267578,2945.0,2945.0,0,897,-3144.9799999999987,1048.3266666666666,15.94456820087451,100,100,100
Round Robin,60,0.00400543212890625,2815.0,2815.0,0,897,-2844.56,948.1866666666666,12.129820931282596,100,100,100
Round Robin,61,0.004999876022338867,2910.0,2910.0,0,897,-3078.510000000001,1026.17,15.417340663156805,100,100,100
Round Robin,62,0.004000425338745117,2817.0,2817.0,0,897,-2895.78,965.26,11.800964049310773,100,100,100
Round Robin,63,0.003995656967163086,2761.0,2761.0,0,897,-2839.2899999999995,946.43,14.682770850862058,100,100,100
Round Robin,64,0.005003929138183594,2902.0,2902.0,0,897,-3026.5499999999984,1008.85,11.386538463432476,100,100,100
Round Robin,65,0.0040013790130615234,2861.0,2861.0,0,897,-2932.1400000000003,977.38,14.977692315218288,100,100,100
Round Robin,66,0.003999233245849609,2911.0,2911.0,0,897,-3084.6299999999997,1028.21,8.873533052784541,100,100,100
Round Robin,67,0.004995584487915039,2894.0,2894.0,0,897,-3065.059999999999,1021.6866666666666,18.67254684808844,100,100,100
Round Robin,68,0.0040130615234375,2851.0,2851.0,0,897,-3009.549999999999,1003.1833333333333,21.698648543748988,100,100,100
Round Robin,69,0.003997325897216797,2797.0,2797.0,0,897,-2844.22,948.0733333333334,14.84092265995323,100,100,100
Round Robin,70,0.003999948501586914,2873.0,2873.0,0,897,-2988.670000000002,996.2233333333334,23.98423540395833,100,100,100
Round Robin,71,0.003499269485473633,2910.0,2910.0,0,897,-3018.429999999999,1006.1433333333333,10.771958485517315,100,100,100
Round Robin,72,0.006055355072021484,2821.0,2821.0,0,897,-2882.5599999999995,960.8533333333334,12.727771132420651,100,100,100
Round Robin,73,0.004026651382446289,2861.0,2861.0,0,897,-2956.1599999999994,985.3866666666667,10.701681669966288,100,100,100
Round Robin,74,0.0040090084075927734,2930.0,2930.0,0,897,-3039.5300000000016,1013.1766666666666,13.047722108082468,100,100,100
Round Robin,75,0.00500798225402832,2828.0,2828.0,0,897,-3004.409999999999,1001.47,10.833046657128122,100,100,100
Round Robin,76,0.004851102828979492,2829.0,2829.0,0,897,-2912.280000000001,970.76,17.023749423936927,100,100,100
Round Robin,77,0.004000425338745117,2797.0,2797.0,0,897,-2777.1800000000007,925.7266666666667,11.820095596943387,100,100,100
Round Robin,78,0.0049896240234375,2791.0,2791.0,0,897,-2919.53,973.1766666666666,15.547859599715117,100,100,100
Round Robin,79,0.00400853157043457,2943.0,2943.0,0,897,-3193.8600000000015,1064.62,27.835342519793873,100,100,100
Round Robin,80,0.003994464874267578,2871.0,2871.0,0,897,-2940.7199999999993,980.24,11.154663593494842,100,100,100
Round Robin,81,0.004934072494506836,2786.0,2786.0,0,897,-2813.66,937.8866666666667,20.84413160472456,100,100,100
Round Robin,82,0.003985404968261719,2818.0,2818.0,0,897,-2886.0499999999997,962.0166666666667,5.639633840315206,100,100,100
Round Robin,83,0.005002498626708984,2842.0,2842.0,0,897,-2961.2599999999993,987.0866666666667,14.133033653259837,100,100,100
Round Robin,84,0.003998279571533203,2903.0,2903.0,0,897,-3066.060000000002,1022.02,13.309008109974151,100,100,100
Round Robin,85,0.00500941276550293,2810.0,2810.0,0,897,-2959.240000000001,986.4133333333333,21.574827585586274,100,100,100
Round Robin,86,0.00400233268737793,2831.0,2831.0,0,897,-2835.3600000000024,945.12,18.64669204584046,100,100,100
Round Robin,87,0.004070281982421875,2889.0,2889.0,0,897,-3048.92,1016.3066666666666,15.28752090347525,100,100,100
Round Robin,88,0.004999399185180664,2803.0,2803.0,0,897,-2829.570000000002,943.19,7.682231010389384,100,100,100
Round Robin,89,0.003919839859008789,2873.0,2873.0,0,897,-3034.0500000000025,1011.35,14.83706506181284,100,100,100
Round Robin,90,0.00402069091796875,2786.0,2786.0,0,897,-2943.4599999999996,981.1533333333333,16.048346356162202,100,100,100
Round Robin,91,0.0049970149993896484,2822.0,2822.0,0,897,-2893.1600000000003,964.3866666666667,17.848565618259624,100,100,100
Round Robin,92,0.0039958953857421875,2863.0,2863.0,0,897,-2961.6,987.2,15.849149740753276,100,100,100
Round Robin,93,0.005003929138183594,2862.0,2862.0,0,897,-2949.8600000000006,983.2866666666666,6.55054510792435,100,100,100
Round Robin,94,0.004302501678466797,2863.0,2863.0,0,897,-2994.87,998.29,12.288154847480376,100,100,100
Round Robin,95,0.00500035285949707,2818.0,2818.0,0,897,-2958.159999999998,986.0533333333333,9.848810296921714,100,100,100
Round Robin,96,0.003997325897216797,2858.0,2858.0,0,897,-2995.4100000000003,998.47,10.343697449697315,100,100,100
Round Robin,97,0.004084587097167969,2847.0,2847.0,0,897,-2966.1299999999997,988.71,10.905498244277847,100,100,100
Round Robin,98,0.005011081695556641,2864.0,2864.0,0,897,-2979.230000000001,993.0766666666667,13.673524711626253,100,100,100
Round Robin,99,0.0043714046478271484,2825.0,2825.0,0,897,-2957.209999999999,985.7366666666667,12.001341768989027,100,100,100
Round Robin,100,0.00396728515625,2792.0,2792.0,0,897,-2868.4000000000015,956.1333333333333,12.109386618183299,100,100,100
